2024-05-08 13:38:12.271481,explorer.exe,1670,1718,1020,7f010d01,2,0,a29
2024-05-08 13:38:12.309270,explorer.exe,1670,1718,102e,7f010d01,0,5,0
2024-05-08 13:38:12.333915,explorer.exe,1670,1718,1012,bcca8f0,1,2,31ee139
2024-05-08 13:38:12.365630,explorer.exe,1670,1718,103f,6b010cbb,7,31ee0c0,6b
2024-05-08 13:38:12.396354,explorer.exe,1670,1718,102b,6b010cbb,3b040b22,1,0
2024-05-08 13:38:12.427528,explorer.exe,1670,1718,1020,6b010cbb,0,0,a29
2024-05-08 13:38:12.458726,explorer.exe,1670,1718,102b,6b010cbb,9e040c12,1,a29
2024-05-08 13:38:12.490184,conhost.exe,5a4,1278,106d,ffffffff90010cc1,f00021,172898f5a0,1
2024-05-08 13:38:12.521265,conhost.exe,5a4,1278,12f4,ffffffff90010cc1,20adb16d500,1,0
2024-05-08 13:38:12.552597,conhost.exe,5a4,1278,1059,ffffffff90010cc1,d8,2c,8
2024-05-08 13:38:12.583943,conhost.exe,5a4,1278,1008,ffffffff8a010c2f,d8,20,8
2024-05-08 13:38:12.615100,conhost.exe,5a4,1278,1012,7ffb63e91144,0,172898f4a8,10
2024-05-08 13:38:12.646234,conhost.exe,5a4,1278,14ac,ffffffff8a010c2f,20adb220420,c2f,20adb440000
2024-05-08 13:38:12.677489,conhost.exe,5a4,1278,e,1ac,0,172898f598,172898f679
2024-05-08 13:38:12.708920,conhost.exe,5a4,1278,34,0,172898f6a0,1728b17000,0
2024-05-08 13:38:12.740145,dwm.exe,414,6e8,61,284,0,0,0
2024-05-08 13:38:12.771282,dwm.exe,414,6e8,4,270,0,49cf1ffa88,49cf1ffb59
2024-05-08 13:38:12.802564,dwm.exe,414,6e8,4,308,0,49cf1ffa88,49cf1ffb59
2024-05-08 13:38:12.833833,dwm.exe,414,6e8,4,284,0,49cf1ffa88,49cf1ffb59
2024-05-08 13:38:12.865102,dwm.exe,414,6e8,4,1158,0,49cf1ffa88,49cf1ffb59
2024-05-08 13:38:12.896363,dwm.exe,414,6e8,124a,49cf1ffa50,1919f7c8cc0,0,1919f7a7580
2024-05-08 13:38:12.927603,dwm.exe,414,6e8,5b,2,49cf1ffb58,1,0
2024-05-08 13:38:12.958589,conhost.exe,5a4,1278,4,1a8,0,0,0
2024-05-08 13:38:12.989811,OneDrive.exe,1dc8,153c,4,bd4,0,15843ffc18,15843ffd90
2024-05-08 13:38:13.021108,conhost.exe,5a4,1278,4,1a4,0,0,0
2024-05-08 13:38:13.052531,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ffb90,10
2024-05-08 13:38:13.083584,dwm.exe,414,6e8,11e8,49cf1ff7b8,49cf1ff9c8,49cf1ff988,0
2024-05-08 13:38:13.114994,dwm.exe,414,6e8,1b1,27c,0,49cf1ff840,30
2024-05-08 13:38:13.146174,dwm.exe,414,6e8,111e,4,49cf1ff7d0,49cf1ff708,84cd27
2024-05-08 13:38:13.177415,dwm.exe,414,6e8,1131,4,49cf1ff6a0,49cf1ff6a8,49cf1ffcc0
2024-05-08 13:38:13.208576,dwm.exe,414,6e8,172,45c,49cf1ff2f0,1,49cf1ff2e0
2024-05-08 13:38:13.239799,dwm.exe,414,6e8,5b,1,1919a486020,1,0
2024-05-08 13:38:13.271008,dwm.exe,414,6e8,172,45c,49cf1ff2f0,1,49cf1ff2e0
2024-05-08 13:38:13.302499,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff660,10
2024-05-08 13:38:13.333573,dwm.exe,414,6e8,1133,49cf1ff5f0,49cf1ff5e8,49cf1ff600,49cf1ff5f8
2024-05-08 13:38:13.365132,dwm.exe,414,6e8,1135,49cf1ff5f0,49cf1ff5f8,49cf1ff604,191a7eb05e8
2024-05-08 13:38:13.395981,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff660,10
2024-05-08 13:38:13.427388,dwm.exe,414,6e8,11e8,49cf1febd8,1919ef409d0,7ffb62570f98,49cf1fea10
2024-05-08 13:38:13.458661,dwm.exe,414,6e8,11b1,49cf1feb38,1919f7c8cc0,49cf1feaa8,49cf1febb0
2024-05-08 13:38:13.489707,dwm.exe,414,6e8,11b7,49cf1feb58,1919f7c8cc0,0,49cf1febb0
2024-05-08 13:38:13.521123,dwm.exe,414,6e8,11e8,49cf1fea30,1919efe70c0,49cf1feaa8,49cf1febb0
