2024-05-03 14:53:01.151454,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:53:01.182511,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:53:01.213824,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:53:01.245138,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:53:01.276365,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:53:01.307395,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:53:01.338602,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:53:01.370066,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:53:01.401449,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:53:01.432214,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:53:01.463518,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:53:01.494928,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:53:01.526184,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:53:01.557334,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:53:01.588639,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:53:01.620238,explorer.exe,24b8,2770,23,ffffffffffffffff,7ff8ff080000,6,121f2e0
2024-05-03 14:53:01.658581,explorer.exe,24b8,da4,121,e7c458,20019,e7c4d0,0
2024-05-03 14:53:01.690065,explorer.exe,1b0,1440,23,ffffffffffffffff,7ff8ff080000,6,9df650
2024-05-03 14:53:01.721124,explorer.exe,1b0,1258,21,fffffffffffffffc,29,69dbc0,4c
2024-05-03 14:53:01.752408,explorer.exe,1b0,1258,16,352,3,69abe0,180
2024-05-03 14:53:01.783720,explorer.exe,1b0,16d0,21,fffffffffffffffa,1,2a2d550,58
2024-05-03 14:53:01.814835,svchost.exe,c44,1194,d,fffffffffffffffe,2c,1d2e96e8088,8
2024-05-03 14:53:01.846082,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:53:01.877355,svchost.exe,c44,1194,87,136f4fd610,1cc,1d2e9503170,0
2024-05-03 14:53:01.908518,explorer.exe,1b0,8ac,121,293e578,2000000,293e5f0,0
2024-05-03 14:53:01.939765,lsass.exe,2e0,1250,0,ff647be030,8f8,10001,7ff901472108
2024-05-03 14:53:01.970986,smartscreen.ex,944,1dd4,18,ffffffffffffffff,c5e25be390,0,c5e25be438
2024-05-03 14:53:02.002380,explorer.exe,1b0,8ac,16,566,3,293bae0,188
2024-05-03 14:53:02.033669,smartscreen.ex,944,a80,16,8c,7,c5e314e398,4
2024-05-03 14:53:02.064572,smartscreen.ex,944,10e0,70,b14,c5e30cf412,c5e30cf410,c5e30cf410
2024-05-03 14:53:02.096113,conhost.exe,2714,1174,107d,ffffffffcd010dcb,20,1d2eefdb70,1
2024-05-03 14:53:02.127241,conhost.exe,2714,1174,121,1d2eefd9e8,1,1d2eefda60,0
2024-05-03 14:53:02.158456,svchost.exe,10a0,2608,1d2,1c6458fdd28,0,0,0
2024-05-03 14:53:02.189656,TextInputHost.,163c,1348,8c,504,0,0,0
2024-05-03 14:53:02.221038,LibreOfficeDra,2780,684,121,9e580,20019,9e5a8,0
2024-05-03 14:53:02.252126,LibreOfficePor,cc8,1438,50,ffffffffffffffff,9e5e8,9e5d8,2
2024-05-03 14:53:02.283403,LibreOfficePor,cc8,1438,16,25c,3,653b90,818
2024-05-03 14:53:02.314717,LibreOfficePor,cc8,1438,1a0006,2c0,0,0,0
2024-05-03 14:53:02.346119,LibreOfficePor,cc8,1438,21,2f0,5,9ee90,24
2024-05-03 14:53:02.377207,LibreOfficePor,cc8,1438,19,ffffffffffffffff,17,9ee90,24
2024-05-03 14:53:02.408487,LibreOfficePor,cc8,1438,17,3e4,9e5f8,2,652d10
2024-05-03 14:53:02.439705,LibreOfficePor,cc8,1438,16,114,7,9e568,4
2024-05-03 14:53:02.470882,LibreOfficePor,cc8,1438,19a,460,5,9e638,4
2024-05-03 14:53:02.502227,dwm.exe,410,6b4,1254,a42fbfef80,7ff8fa8da860,a42fbfef80,794e
2024-05-03 14:53:02.533305,explorer.exe,15f8,16ac,107e,64010a78,0,0,1
