OneDrive.exe,2060,21b4,4,c2c,0,9278aff668,9278aff7e0
WMIADAP.exe,1094,1074,36,2,e4cfe8f438,158,0
WMIADAP.exe,1094,1074,34,0,e4cfe8f1a0,e4d0021000,a
WMIADAP.exe,1094,1074,17,268,e4cfe8f1d8,2,e4cfe8f090
hyperdbg-cli.e,1008,1c20,7,1f4,0,0,0
OneDrive.exe,2060,21b4,4,c2c,0,9278aff668,9278aff7e0
WMIADAP.exe,1094,1074,36,2,e4cfe8f2e0,158,0
hyperdbg-cli.e,1008,1c20,4,1f4,0,0,1f4
WMIADAP.exe,1094,1074,34,0,e4cfe8f1a0,e4d0021000,a
hyperdbg-cli.e,1008,1c20,7,574,578,0,0
hyperdbg-cli.e,1008,1c20,34,0,ebdaaffaf0,ebda548000,100
NisSrv.exe,cdc,584,171,104,1,0,ffff0000
NisSrv.exe,cdc,584,7,354,0,0,1409dbc2908
NisSrv.exe,cdc,584,1d5,35c,1409db6adc0,10,1e02b7fc18
NisSrv.exe,cdc,640,171,104,1,0,ffff0000
NisSrv.exe,cdc,640,1d5,104,1409db6bfe0,10,1e02bff6e8
NisSrv.exe,cdc,207c,1d5,104,1409db6b160,10,1e02d7fb58
WMIADAP.exe,1094,1074,17,268,e4cfe8f1d8,2,e4cfe8f090
OneDrive.exe,2060,21b4,4,c2c,0,9278aff668,9278aff7e0
hyperdbg-cli.e,1008,1c20,34,0,ebdaaffaf0,ebda548000,100
WMIADAP.exe,1094,1074,17,268,e4cfe8f1d8,2,e4cfe8f090
svchost.exe,e48,1b90,1b0,28,f0881ff908,0,f0881ff938
OneDrive.exe,2060,21b4,4,c2c,0,9278aff668,9278aff7e0
WMIADAP.exe,1094,1074,36,2,e4cfe8f438,158,0
svchost.exe,e48,1b90,1b0,28,f0881ff840,0,f0881ff848
WMIADAP.exe,1094,1074,34,0,e4cfe8f1a0,e4d0021000,a
svchost.exe,e48,1b90,90,2c,18,28,28a47c02458
svchost.exe,e48,1b90,1d5,1c,28a4b83e870,10,f0881ff9d8
WMIADAP.exe,1094,1074,17,268,e4cfe8f1d8,2,e4cfe8f090
hyperdbg-cli.e,1008,1c20,7,1f4,0,0,0
OneDrive.exe,2060,21b4,4,c2c,0,9278aff668,9278aff7e0
MOM.exe,2284,22b0,34,1,bd101ff230,0,bd0f60a290
conhost.exe,10e4,105c,1b0,24,3964ffa78,0,3964ffaa8
WMIADAP.exe,1094,1074,36,2,e4cfe8f2e0,158,0
hyperdbg-cli.e,1008,1c20,4,1f4,0,0,1f4
WMIADAP.exe,1094,1074,34,0,e4cfe8f1a0,e4d0021000,a
conhost.exe,10e4,105c,1b0,24,3964ff9b0,0,3964ff9b8
hyperdbg-cli.e,1008,1c20,7,574,578,0,0
conhost.exe,10e4,105c,90,28,14,24,106ffcb0c68
lsass.exe,2e0,30c,d,fffffffffffffffe,2c,5a1b27f570,8
MsMpEng.exe,edc,4b8,1e,ffffffffffffffff,94ba77db08,94ba77db00,4000
MsMpEng.exe,edc,450,12e,94ba7fa0c0,1,94ba7fa0c8,224512c1970
MsMpEng.exe,edc,45c,12e,94b9379ef0,1,94b9379ef8,2245f290bf0
MsMpEng.exe,edc,11ac,4,dd0,0,94b947f608,0
MsMpEng.exe,edc,1080,1e,ffffffffffffffff,94ba87db08,94ba87db00,4000
MsMpEng.exe,edc,1548,1e,ffffffffffffffff,94b977d788,94b977d780,4000
conhost.exe,10e4,1a60,4,4,0,0,4
RansomwarePOC.,23f0,1c74,27,258,6980772918,6980772910,8
MsMpEng.exe,edc,1d58,11,f50,94ba37ecd8,94ba37ecf0,68
RansomwarePOC.,23f0,1c74,6,21c,0,0,0
RansomwarePOC.,23f0,1c74,11,21c,6980779008,6980779000,8
RansomwarePOC.,23f0,1c74,27,21c,6980779008,6980779000,8
RansomwarePOC.,23f0,1c74,f,21c,ffffffffffffffff,0,0
RansomwarePOC.,23f0,1c74,f,220,ffffffffffffffff,0,0
RansomwarePOC.,23f0,1c74,c0,6980778718,1f0003,0,0
RansomwarePOC.,23f0,1c74,c0,6980778718,1f0003,0,0
RansomwarePOC.,23f0,1c74,55,6980777a40,80100080,6980777aa0,6980777a48
RansomwarePOC.,23f0,1c74,49,228,6980777b70,6980777b90,8
RansomwarePOC.,23f0,1c74,10,228,4,6980777da0,2
RansomwarePOC.,23f0,1c74,5c,228,4,6980777da0,2
RansomwarePOC.,23f0,1c74,27,228,6980777d58,6980777d50,8
RansomwarePOC.,23f0,1c74,6,228,0,0,0
RansomwarePOC.,23f0,1c74,11,228,6980777d58,6980777d50,8
RansomwarePOC.,23f0,1c74,27,228,6980777d58,6980777d50,8
RansomwarePOC.,23f0,1c74,6,228,0,0,0
RansomwarePOC.,23f0,1c74,6,228,0,0,0
RansomwarePOC.,23f0,1c74,f,228,ffffffffffffffff,0,0
