2024-05-20 21:28:13.578043,MsMpEng.exe,ed4,15c0,d,fffffffffffffffe,19,111ca793bc,4
2024-05-20 21:28:13.609260,MsMpEng.exe,ed4,15c0,d,fffffffffffffffe,18,111ca77aa0,4
2024-05-20 21:28:13.640531,MsMpEng.exe,ed4,15c0,25,fffffffffffffffe,18,111ca774d0,4
2024-05-20 21:28:13.671815,MsMpEng.exe,ed4,15c0,20,898,0,100,60
2024-05-20 21:28:13.703022,powershell.exe,1358,2700,7,48,0,0,0
2024-05-20 21:28:13.734304,conhost.exe,15f4,898,4,4,0,0,4
2024-05-20 21:28:13.765503,MsMpEng.exe,ed4,15c0,18,ffffffffffffffff,111ca7bb40,0,111ca7bb48
2024-05-20 21:28:13.796817,MsMpEng.exe,ed4,15c0,50,ffffffffffffffff,111ca7bde8,111ca7bde0,2
2024-05-20 21:28:13.828091,MsMpEng.exe,ed4,15c0,5b,3,111ca79400,1,0
2024-05-20 21:28:13.859332,MsMpEng.exe,ed4,15c0,5b,1,111ca79500,1,0
2024-05-20 21:28:13.890653,MsMpEng.exe,ed4,15c0,6,c94,0,0,0
2024-05-20 21:28:13.921826,powershell.exe,1358,2700,7,48,0,0,0
2024-05-20 21:28:13.953078,MsMpEng.exe,ed4,15c0,d,fffffffffffffffe,19,111ca79390,4
2024-05-20 21:28:13.984331,MsMpEng.exe,ed4,15c0,3f,c3c,7ff63cf33000,2030c1de010,1000
2024-05-20 21:28:14.015561,MsMpEng.exe,ed4,15c0,5b,1,111ca78b30,1,0
2024-05-20 21:28:14.046840,MsMpEng.exe,ed4,15c0,20,898,0,100,60
2024-05-20 21:28:14.078104,MsMpEng.exe,ed4,15c0,5b,3,111ca78a30,1,0
2024-05-20 21:28:14.109366,conhost.exe,15f4,898,4,4,0,0,4
2024-05-20 21:28:14.140600,powershell.exe,1358,2700,7,48,0,0,0
2024-05-20 21:28:14.171915,MsMpEng.exe,ed4,15c0,3f,c3c,131e020fdf0,111ca7cc50,88
2024-05-20 21:28:14.203120,MsMpEng.exe,ed4,15c0,d,fffffffffffffffe,19,111ca78c8c,4
2024-05-20 21:28:14.234361,MsMpEng.exe,ed4,15c0,25,fffffffffffffffe,19,111ca78c8c,4
2024-05-20 21:28:14.265579,MsMpEng.exe,ed4,15c0,d,fffffffffffffffe,19,111ca78c60,4
2024-05-20 21:28:14.296899,MsMpEng.exe,ed4,15c0,3f,c3c,7ff6ce3c8000,2030c233010,1000
2024-05-20 21:28:14.328213,msedge.exe,454,27e0,6,13c0,0,0,637800a26800
2024-05-20 21:28:14.359417,MsMpEng.exe,ed4,15c0,20,898,0,100,60
2024-05-20 21:28:14.390749,msedge.exe,1b4c,1fb4,70,fd8,cee4dfec46,ceda5fbdd0,7ffcfe5ac1c0
2024-05-20 21:28:14.421932,msedge.exe,454,27e0,100f,302ca,401,0,0
2024-05-20 21:28:14.453165,svchost.exe,e24,c54,28,304,ffffffffffffffff,236acfd6a8,0
2024-05-20 21:28:14.484432,svchost.exe,e24,c54,50,ffffffffffffffff,236acfd7a8,236acfd7a0,8
2024-05-20 21:28:14.515674,MsMpEng.exe,ed4,1c30,1d5,1c,2036105d1e0,10,111ceff628
2024-05-20 21:28:14.546929,MsMpEng.exe,ed4,15c0,5b,3,111ca79400,1,0
2024-05-20 21:28:14.578212,MsMpEng.exe,ed4,15c0,5b,1,111ca79500,1,0
2024-05-20 21:28:14.609484,MsMpEng.exe,ed4,15c0,11,c3c,111ca7cad0,111ca7cb00,4
2024-05-20 21:28:14.640681,MsMpEng.exe,ed4,15c0,3f,ca4,7ff735692000,2030c1ed010,1000
2024-05-20 21:28:14.671996,MsMpEng.exe,ed4,15c0,d,fffffffffffffffe,19,111ca79c1c,4
2024-05-20 21:28:14.703228,MsMpEng.exe,ed4,15c0,16,c38,7,111ca7d4f8,4
2024-05-20 21:28:14.734462,MsMpEng.exe,ed4,15c0,147,111ca7cc00,111ca7cc30,c,0
2024-05-20 21:28:14.765703,MsMpEng.exe,ed4,15c0,147,111ca7d170,111ca7d1a0,8,0
2024-05-20 21:28:14.796956,MsMpEng.exe,ed4,15c0,17,c34,111ca7d418,2,111ca7d430
2024-05-20 21:28:14.828240,MsMpEng.exe,ed4,15c0,147,111ca7ca60,111ca7ca90,6,0
2024-05-20 21:28:14.859444,MsMpEng.exe,ed4,15c0,147,111ca7cba0,111ca7cbd0,a,0
2024-05-20 21:28:14.890742,services.exe,300,eec,1a1,14,9,56fc2ff5bc,4
2024-05-20 21:28:14.921962,MsMpEng.exe,ed4,15c0,147,111ca7d170,111ca7d1a0,6,0
2024-05-20 21:28:14.953291,conhost.exe,15f4,898,e,1a4,0,0,d666fff040
2024-05-20 21:28:14.984474,MsMpEng.exe,ed4,15c0,20,898,0,100,40
2024-05-20 21:28:15.015736,services.exe,300,eec,8c,150,0,0,0
2024-05-20 21:28:15.046951,MsMpEng.exe,ed4,15c0,5b,1,111ca7d240,1,0
2024-05-20 21:28:15.078228,MsMpEng.exe,ed4,15c0,16,f8,7,111ca7d0e8,4
2024-05-20 21:28:15.109497,MsMpEng.exe,ed4,15c0,147,111ca7cba0,111ca7cbd0,6,0
2024-05-20 21:28:15.140764,conhost.exe,15f4,898,4,4,0,0,4
2024-05-20 21:28:15.172024,MsMpEng.exe,ed4,15c0,147,111ca7d170,111ca7d1a0,8,0
2024-05-20 21:28:15.203262,MsMpEng.exe,ed4,15c0,f,c34,ffffffffffffffff,0,0
2024-05-20 21:28:15.234524,MsMpEng.exe,ed4,15c0,d,fffffffffffffffe,5,111ca7d098,8
2024-05-20 21:28:15.265772,MsMpEng.exe,ed4,15c0,147,111ca7cba0,111ca7cbd0,a,0
2024-05-20 21:28:15.297016,MsMpEng.exe,ed4,15c0,147,111ca7cba0,111ca7cbd0,2,0
2024-05-20 21:28:15.328243,MsMpEng.exe,ed4,15c0,121,111ca7d528,20019,111ca7d548,0
2024-05-20 21:28:15.359533,conhost.exe,15f4,898,7,4,0,0,0
2024-05-20 21:28:15.390794,services.exe,300,eec,86,93c,209b9c5d480,0,eec
2024-05-20 21:28:15.422095,services.exe,300,eec,f,714,0,0,59
2024-05-20 21:28:15.453283,services.exe,300,eec,1d5,14,209b9ad5e90,10,56fc2ff6f8
2024-05-20 21:28:15.484573,MsMpEng.exe,ed4,15c0,11,c34,111ca7caf8,111ca7cb10,68
2024-05-20 21:28:15.515847,MsMpEng.exe,ed4,15c0,f,c34,ffffffffffffffff,0,0
2024-05-20 21:28:15.547089,services.exe,300,eec,29,56fc2fe938,209b9be4020,56fc2fe928,56fc2fe918
2024-05-20 21:28:15.578335,services.exe,300,eec,8c,150,0,0,0
2024-05-20 21:28:15.609597,MsMpEng.exe,ed4,15c0,17,c34,111ca7d418,2,111ca7d430
2024-05-20 21:28:15.640848,MsMpEng.exe,ed4,15c0,f,c34,ffffffffffffffff,0,0
2024-05-20 21:28:15.672110,services.exe,300,eec,58,56fc2fea80,3,56fc2feab0,209b9ad1f20
2024-05-20 21:28:15.703285,MsMpEng.exe,ed4,15c0,5b,1,111ca7cb20,1,0
2024-05-20 21:28:15.734658,MsMpEng.exe,ed4,15c0,17,c20,111ca7d6e0,2,111ca7d5a0
2024-05-20 21:28:15.765849,MsMpEng.exe,ed4,15c0,20,898,0,100,a0
2024-05-20 21:28:15.797114,MsMpEng.exe,ed4,15c0,f,c30,ffffffffffffffff,0,0
2024-05-20 21:28:15.828392,MsMpEng.exe,ed4,15c0,6,c20,0,0,0
2024-05-20 21:28:15.859632,MsMpEng.exe,ed4,15c0,d,fffffffffffffffe,18,111ca77970,4
2024-05-20 21:28:15.890864,MsMpEng.exe,ed4,15c0,25,fffffffffffffffe,18,111ca77930,4
2024-05-20 21:28:15.922136,MsMpEng.exe,ed4,15c0,d,fffffffffffffffe,18,111ca77930,4
2024-05-20 21:28:15.953397,MsMpEng.exe,ed4,15c0,27,c20,111ca77868,111ca77860,8
2024-05-20 21:28:15.984662,MsMpEng.exe,ed4,15c0,5b,3,111ca7b510,1,0
2024-05-20 21:28:16.015912,MsMpEng.exe,ed4,15c0,11,c18,111ca7baf0,111ca7bb08,3e
2024-05-20 21:28:16.047161,MsMpEng.exe,ed4,15c0,146,c18,111ca7b8f0,111ca7bb30,9
2024-05-20 21:28:16.078417,MsMpEng.exe,ed4,15c0,25,fffffffffffffffe,1,111ca7bb00,20
2024-05-20 21:28:16.109639,MsMpEng.exe,ed4,15c0,20,898,0,100,c0
2024-05-20 21:28:16.140895,MsMpEng.exe,ed4,15c0,147,111ca7b830,111ca7b860,4,0
2024-05-20 21:28:16.172217,conhost.exe,15f4,898,7,4,0,0,0
2024-05-20 21:28:16.203396,conhost.exe,15f4,898,4,4,0,0,4
2024-05-20 21:28:16.234790,MsMpEng.exe,ed4,15c0,f,c30,ffffffffffffffff,0,0
2024-05-20 21:28:16.265983,MsMpEng.exe,ed4,15c0,11,c30,111ca7ca30,111ca7ca80,18
2024-05-20 21:28:16.297167,MsMpEng.exe,ed4,15c0,49,c30,111ca7cb28,111ca7cbb0,18
2024-05-20 21:28:16.328406,MsMpEng.exe,ed4,15c0,11,c30,111ca7ca30,111ca7ca80,18
2024-05-20 21:28:16.359676,msedge.exe,14f4,7c4,4,948,0,781d9fe738,781d9fe87c
2024-05-20 21:28:16.390941,MsMpEng.exe,ed4,15c0,147,111ca7ca80,111ca7cab0,6,0
2024-05-20 21:28:16.422198,MsMpEng.exe,ed4,15c0,f,c30,ffffffffffffffff,0,0
