2024-04-21 17:49:56.555570,explorer.exe,15a0,16c4,100e,60390,c018,0,25602f9
2024-04-21 17:49:56.586790,explorer.exe,15a0,16c4,100e,b0480,a91c,0,c68e790
2024-04-21 17:49:56.618002,explorer.exe,15a0,16c4,5,c68c400,18,0,c68c358
2024-04-21 17:49:56.649259,explorer.exe,15a0,16c4,5,c68ca40,18,0,c68c561
2024-04-21 17:49:56.680542,explorer.exe,15a0,16c4,100e,b0480,a91c,0,c68f480
2024-04-21 17:49:56.711756,explorer.exe,15a0,16c4,1007,b0480,20,60390,2000001
2024-04-21 17:49:56.743015,dwm.exe,418,774,172,b6c,1b8cf1f920,1,1b8cf1f910
2024-04-21 17:49:56.774268,explorer.exe,15a0,16c4,1001,c68fac0,0,0,0
2024-04-21 17:49:56.805660,explorer.exe,15a0,16c4,100e,60390,c018,0,c68f230
2024-04-21 17:49:56.836782,MsMpEng.exe,ddc,1ac,5b,1,68a91fca30,1,0
2024-04-21 17:49:56.867986,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcd80,20
2024-04-21 17:49:56.899238,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdf0,20
2024-04-21 17:49:56.930503,explorer.exe,15a0,16c4,1000,7,200,0,4e0306
2024-04-21 17:49:56.961751,explorer.exe,15a0,16c4,1007,a048a,84,0,2680562
2024-04-21 17:49:56.992956,explorer.exe,15a0,16c4,1007,b0480,84,0,2650553
2024-04-21 17:49:57.024186,explorer.exe,15a0,16c4,5,c68f360,18,0,c68e978
2024-04-21 17:49:57.055445,MsMpEng.exe,ddc,1ac,5b,3,68a91f9c50,1,0
2024-04-21 17:49:57.086771,MsMpEng.exe,ddc,1ac,20,cb4,0,100,60
2024-04-21 17:49:57.117895,explorer.exe,15a0,16c4,5,c68cf10,18,0,c68cba1
2024-04-21 17:49:57.149222,MsMpEng.exe,ddc,1ac,50,ffffffffffffffff,68a91fc2d8,68a91fc2d0,4
2024-04-21 17:49:57.180429,explorer.exe,15a0,16c4,100e,b0480,c07b,0,26003c5
2024-04-21 17:49:57.211656,MsMpEng.exe,ddc,1ac,5b,3,68a91fc930,1,0
2024-04-21 17:49:57.242882,explorer.exe,15a0,16c4,100e,60390,c018,60390,2000001
2024-04-21 17:49:57.274085,explorer.exe,15a0,16c4,100e,60390,c018,0,c68f230
2024-04-21 17:49:57.305362,explorer.exe,15a0,16c4,19,ffffffffffffffff,34,c68f3c0,8
2024-04-21 17:49:57.336599,explorer.exe,15a0,16c4,5,c68ddc0,18,0,c68dd18
2024-04-21 17:49:57.367852,explorer.exe,15a0,16c4,100e,b0480,a91c,0,c68f480
2024-04-21 17:49:57.399083,dwm.exe,418,774,90,46c,b6c,468,40001402
2024-04-21 17:49:57.430304,explorer.exe,15a0,16c4,12,c68d9b0,9,c68d9c0,0
2024-04-21 17:49:57.461573,explorer.exe,15a0,16c4,100e,b0480,a91c,0,c68d470
2024-04-21 17:49:57.492788,explorer.exe,15a0,16c4,100e,b0480,c07b,60390,2000001
2024-04-21 17:49:57.524082,dwm.exe,418,6bc,1133,1b8cd9f6e0,1b8cd9f6d8,1b8cd9f6f0,1b8cd9f6e8
2024-04-21 17:49:57.555321,dwm.exe,418,774,90,378,b6c,354,40000002
2024-04-21 17:49:57.586588,dwm.exe,418,6bc,1135,1b8cd9f6e0,1b8cd9f6e8,1b8cd9f6f4,1b8cd9fdb0
2024-04-21 17:49:57.617789,dwm.exe,418,774,172,b6c,1b8cf1f920,1,1b8cf1f910
2024-04-21 17:49:57.649023,dwm.exe,418,6bc,11e8,1b8cd9f7b0,0,0,0
2024-04-21 17:49:57.680254,dwm.exe,418,6bc,1121,4,1b8cd9f838,1b8cd9f788,1b8cd9f930
2024-04-21 17:49:57.711506,dwm.exe,418,6bc,112b,4,1b8cd9f838,1b8cd9f7e8,1b8cd9f930
2024-04-21 17:49:57.742754,MsMpEng.exe,ddc,1ac,5b,3,68a91f9c50,1,0
2024-04-21 17:49:57.773992,explorer.exe,15a0,16c4,5,c68f4f0,18,0,c68f448
2024-04-21 17:49:57.805241,explorer.exe,15a0,16c4,1007,b0480,84,0,38802f0
2024-04-21 17:49:57.836499,explorer.exe,15a0,16c4,19,ffffffffffffffff,34,c68c910,8
2024-04-21 17:49:57.867729,dwm.exe,418,774,172,b6c,1b8cf1f920,1,1b8cf1f910
2024-04-21 17:49:57.898931,dwm.exe,418,774,172,b6c,1b8cf1f620,1,1b8cf1f610
2024-04-21 17:49:57.930212,explorer.exe,15a0,16c4,100e,b0480,a91c,0,c68f480
2024-04-21 17:49:57.961445,explorer.exe,15a0,16c4,100e,b0480,a91c,0,c68f480
2024-04-21 17:49:57.992675,MsMpEng.exe,ddc,1ac,50,ffffffffffffffff,68a91fc2d8,68a91fc2d0,20
2024-04-21 17:49:58.023948,explorer.exe,15a0,16c4,5,c68f8d0,18,0,c68f8e8
2024-04-21 17:49:58.055166,explorer.exe,15a0,16c4,19,ffffffffffffffff,34,c68c910,8
2024-04-21 17:49:58.086422,explorer.exe,15a0,16c4,5,c68d6c0,18,0,c68d071
2024-04-21 17:49:58.117660,explorer.exe,15a0,16c4,1007,60390,20,60390,2000001
2024-04-21 17:49:58.148913,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdd0,20
2024-04-21 17:49:58.180191,MsMpEng.exe,ddc,1ac,50,ffffffffffffffff,68a91fc2d8,68a91fc2d0,4
2024-04-21 17:49:58.211391,MsMpEng.exe,ddc,1ac,50,ffffffffffffffff,68a91fc2d8,68a91fc2d0,20
2024-04-21 17:49:58.242669,MsMpEng.exe,ddc,1ac,5b,1,68a91fca30,1,0
2024-04-21 17:49:58.273857,MsMpEng.exe,ddc,1ac,20,cb4,0,100,40
2024-04-21 17:49:58.305098,MsMpEng.exe,ddc,1ac,20,cb4,0,100,40
2024-04-21 17:49:58.336339,MsMpEng.exe,ddc,1ac,5b,3,68a91fc930,1,0
2024-04-21 17:49:58.367586,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdc0,20
2024-04-21 17:49:58.398822,hyperdbg-cli.e,1f9c,2354,7,1fc,0,0,0
2024-04-21 17:49:58.430067,OneDrive.exe,1714,211c,4,c24,0,5038a3f9f8,5038a3fb70
2024-04-21 17:49:58.461314,hyperdbg-cli.e,1f9c,2354,4,1fc,0,0,1fc
2024-04-21 17:49:58.492529,MsMpEng.exe,ddc,1ac,20,cb4,0,100,60
2024-04-21 17:49:58.523794,MsMpEng.exe,ddc,1ac,5b,3,68a91fc930,1,0
2024-04-21 17:49:58.555082,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdc0,20
2024-04-21 17:49:58.586304,MsMpEng.exe,ddc,1ac,5b,1,68a91f9d50,1,0
2024-04-21 17:49:58.617528,MsMpEng.exe,ddc,1ac,20,cb4,0,100,40
2024-04-21 17:49:58.648761,MsMpEng.exe,ddc,1ac,5b,3,68a91f9c50,1,0
2024-04-21 17:49:58.680064,explorer.exe,15a0,16c4,100a,404fa,404fa,7ffea0c05d30,7ffea0c05d30
2024-04-21 17:49:58.711291,dwm.exe,418,6bc,1b1,284,0,1b8cd9fc60,30
2024-04-21 17:49:58.742475,dwm.exe,418,6bc,25,fffffffffffffffe,17,1b8cd9fbc0,10
2024-04-21 17:49:58.773736,dwm.exe,418,6bc,172,460,1b8cd9f8c0,1,1b8cd9f8b0
2024-04-21 17:49:58.804989,explorer.exe,15a0,16c4,5,c68f6d0,18,0,a8014e
2024-04-21 17:49:58.836256,MsMpEng.exe,ddc,1ac,50,ffffffffffffffff,68a91fc2d8,68a91fc2d0,20
2024-04-21 17:49:58.867481,svchost.exe,1c8,1c0,63,1c78ce22520,0,1370,2000000
2024-04-21 17:49:58.898712,LibreOfficeDra,24d4,958,25,fffffffffffffffe,2a,19fa04,4
2024-04-21 17:49:58.930024,LibreOfficeDra,24d4,958,30171,c8,77e88a30,216,77e7309c
2024-04-21 17:49:58.961212,LibreOfficeDra,24d4,958,1a0006,2fc,0,0,0
2024-04-21 17:49:58.992443,LibreOfficePor,1694,674,23,ffffffffffffffff,74b60000,6,9e4c0
2024-04-21 17:49:59.023638,LibreOfficePor,1694,674,4a,9e638,f0005,9ee90,19d590
2024-04-21 17:49:59.054920,LibreOfficePor,1694,674,16,2ce,7,9eeb0,4
2024-04-21 17:49:59.086158,LibreOfficePor,1694,674,121,9e580,2000000,9e5a8,0
2024-04-21 17:49:59.117408,LibreOfficePor,1694,674,17,392,9e5f8,2,19ccf8
2024-04-21 17:49:59.148671,explorer.exe,15a0,177c,3c,ffffffffffffffff,2648,ffffffffffffffff,571f290
2024-04-21 17:49:59.179920,LibreOfficePor,1694,674,121,9e580,1,9e5a8,0
2024-04-21 17:49:59.211159,LibreOfficePor,1694,674,17,438,9e5f8,2,19d710
2024-04-21 17:49:59.242393,LibreOfficePor,1694,674,32,470,1,0,19e078
2024-04-21 17:49:59.273676,LibreOfficePor,1694,674,1e,ffffffffffffffff,9e5f0,9e5d8,4000
2024-04-21 17:49:59.304902,LibreOfficePor,1694,674,55,9e5c0,40100080,9ee90,9e5d8
2024-04-21 17:49:59.336100,LibreOfficePor,1694,674,1a0006,468,0,0,0
2024-04-21 17:49:59.367330,CCC.exe,21fc,2484,1486,1,5dc147f7c8,ffffffff,1cff
2024-04-21 17:49:59.398664,LibreOfficePor,1694,674,1a0006,468,0,0,0
2024-04-21 17:49:59.429856,LibreOfficePor,1694,674,1a0006,468,0,0,0
2024-04-21 17:49:59.461102,LibreOfficePor,1694,674,1a0006,468,0,0,0
2024-04-21 17:49:59.492349,LibreOfficePor,1694,674,1a0006,468,0,0,0
2024-04-21 17:49:59.523542,svchost.exe,d24,1730,f,8d8,ffffffffffffffff,0,0
2024-04-21 17:49:59.554853,LibreOfficePor,1694,674,1a0006,468,0,0,0
2024-04-21 17:49:59.586082,soffice.exe,22ac,2738,50,ffffffffffffffff,a65588,a65590,2
2024-04-21 17:49:59.617290,soffice.exe,22ac,2738,3000f,144,77e88a30,212,77e742ac
2024-04-21 17:49:59.648626,soffice.bin,23ec,27b0,1a1,c8,d,1b8f4c4,4
2024-04-21 17:49:59.679761,explorer.exe,15a0,177c,1c,ffffffffffffffff,c,571da00,4
2024-04-21 17:49:59.711068,soffice.bin,23ec,e00,23,ffffffffffffffff,6ed20000,6,274e4c0
2024-04-21 17:49:59.742245,explorer.exe,15a0,604,21,fffffffffffffffa,1,b0ee860,58
2024-04-21 17:49:59.773482,soffice.bin,23ec,27b0,15c,f8,1,1bdf5b8,30
2024-04-21 17:49:59.804746,explorer.exe,15a0,1684,24,fffffffffffffffe,c,1,361d8e0
2024-04-21 17:49:59.836001,explorer.exe,15a0,15a4,1000,0,d6f418,d6f2f8,1
2024-04-21 17:49:59.867208,MsMpEng.exe,ddc,1ac,5b,1,68a91f9d50,1,0
2024-04-21 17:49:59.898440,MsMpEng.exe,ddc,1ac,20,cb4,0,100,60
2024-04-21 17:49:59.929764,MsMpEng.exe,ddc,1ac,5b,3,68a91f9c50,1,0
2024-04-21 17:49:59.960956,explorer.exe,15a0,16c4,1469,b0480,0,c68d7b8,c68d8c0
2024-04-21 17:49:59.992248,SearchProtocol,1e2c,1650,12,eaf367a8f8,20019,eaf367a920,2ce654ee010
2024-04-21 17:50:00.023474,dwm.exe,418,6bc,112b,4,1b8cd9f838,1b8cd9f7e8,1b8cd9f930
2024-04-21 17:50:00.054760,explorer.exe,15a0,16c4,146c,b0480,0,c68d7b8,c68d8c0
2024-04-21 17:50:00.085926,soffice.bin,23ec,27b0,143,33c,0,0,0
2024-04-21 17:50:00.117185,explorer.exe,15a0,16c4,100e,b0480,a91c,0,c68c7f0
2024-04-21 17:50:00.148407,explorer.exe,15a0,16c4,101b,6025e,3,0,0
2024-04-21 17:50:00.179612,SearchProtocol,1e2c,1d94,8c,430,20000,2ce655731c0,2ce65527da8
2024-04-21 17:50:00.210911,explorer.exe,15a0,16c4,1000,7,200,0,f5020f
2024-04-21 17:50:00.242141,svchost.exe,d1c,f5c,17,364,16f067e7b8,2,1a0e80377b0
2024-04-21 17:50:00.273386,svchost.exe,d1c,f5c,16,3a0,4,16f067dc40,28
2024-04-21 17:50:00.304620,explorer.exe,15a0,16c4,100e,60390,c018,0,339050a
2024-04-21 17:50:00.335860,svchost.exe,d24,1730,121,440c878e78,20019,440c878e98,0
2024-04-21 17:50:00.367104,explorer.exe,15a0,16c4,5,c68ca40,18,0,c68c998
2024-04-21 17:50:00.398336,explorer.exe,15a0,16c4,5,c68ddc0,18,0,c68dd18
2024-04-21 17:50:00.429589,svchost.exe,d24,1730,3d,440c878280,440c8782b0,a,0
2024-04-21 17:50:00.460802,MsMpEng.exe,ddc,1ac,20,cb4,0,100,80
2024-04-21 17:50:00.492047,explorer.exe,15a0,16c4,102a,c68e908,1,7f,60390
2024-04-21 17:50:00.523359,dwm.exe,418,774,5b,1,1673c4004a0,1,0
2024-04-21 17:50:00.554586,soffice.bin,23ec,27b0,17,360,f4df28,1,1b8a990
2024-04-21 17:50:00.585786,soffice.bin,23ec,27b0,3000f,360,77e88a30,200202,77e72cec
2024-04-21 17:50:00.617060,MsMpEng.exe,ddc,1ac,20,cb4,0,100,60
2024-04-21 17:50:00.648328,soffice.bin,23ec,27b0,c00e9,ffffffffffffffff,6ab47d00,60,77e73a2c
2024-04-21 17:50:00.679507,soffice.bin,23ec,27b0,16,128,7,f4de98,4
2024-04-21 17:50:00.710759,soffice.bin,23ec,27b0,16,47c,7,f4de98,4
2024-04-21 17:50:00.741995,soffice.bin,23ec,27b0,1042,42,10,f4e7e0,0
2024-04-21 17:50:00.773267,soffice.bin,23ec,27b0,3f,47c,1bc5a08,1b8d8ec,48
2024-04-21 17:50:00.804497,soffice.bin,23ec,27b0,3f,47c,1bcc7b0,1b8d8ec,48
2024-04-21 17:50:00.835790,soffice.bin,23ec,27b0,3f,47c,1bccde0,1b8d960,48
2024-04-21 17:50:00.866992,soffice.bin,23ec,27b0,3f,47c,1bc75a0,1b8d960,48
