2024-04-18 08:26:59.271452,explorer.exe,1588,22f8,146e,120520,0,b80de08,b80df10
2024-04-18 08:26:59.302740,explorer.exe,1588,22f8,100e,120520,c06d,e0566,2000001
2024-04-18 08:26:59.333984,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 08:26:59.365123,explorer.exe,1588,22f8,100e,e0566,c018,e0566,2000001
2024-04-18 08:26:59.396547,explorer.exe,1588,22f8,1469,120520,0,b80de08,b80df10
2024-04-18 08:26:59.427741,explorer.exe,1588,22f8,100e,120520,a914,2480c60,1
2024-04-18 08:26:59.458999,explorer.exe,1588,22f8,5,b80ecc0,18,0,b80e2d8
2024-04-18 08:26:59.490386,dwm.exe,418,7cc,5,cbe3cff3f0,18,0,0
2024-04-18 08:26:59.521365,explorer.exe,1588,22f8,5,b80ee50,18,0,b80eda8
2024-04-18 08:26:59.552680,explorer.exe,1588,22f8,5,b80c870,18,0,b80c501
2024-04-18 08:26:59.583903,dwm.exe,418,7cc,172,b70,cbe3cff500,1,cbe3cff4f0
2024-04-18 08:26:59.615275,dwm.exe,418,7cc,1335,2,0,0,1
2024-04-18 08:26:59.646640,explorer.exe,1588,22f8,5,b80d020,18,0,b80c9d1
2024-04-18 08:26:59.677674,explorer.exe,1588,22f8,19,ffffffffffffffff,34,b80ef00,8
2024-04-18 08:26:59.708954,explorer.exe,1588,22f8,10aa,e0566,2,0,0
2024-04-18 08:26:59.740361,explorer.exe,1588,22f8,100e,120520,a91c,0,b80ede0
2024-04-18 08:26:59.771372,explorer.exe,1588,22f8,17,2794,b80e7e8,2,b80e6a0
2024-04-18 08:26:59.802708,dwm.exe,418,6d0,3e,914,203e914c600,1,cbe37af760
2024-04-18 08:26:59.833889,dwm.exe,418,6d0,172,918,cbe37af0d0,1,cbe37af0c0
2024-04-18 08:26:59.865101,dwm.exe,418,6d0,5b,3,203e8ec4170,1,0
2024-04-18 08:26:59.896360,explorer.exe,1588,22f8,1096,4010864,8,1f,46b
2024-04-18 08:26:59.927769,explorer.exe,1588,22f8,100e,120520,a914,b9008d8,b80ee90
2024-04-18 08:26:59.959007,explorer.exe,1588,22f8,103f,4010864,7,b80eb30,4
2024-04-18 08:26:59.990257,explorer.exe,1588,22f8,151f,4010864,0,b80ead8,b80ec19
2024-04-18 08:27:00.021604,explorer.exe,1588,22f8,103f,4010864,7,b80eb30,4
2024-04-18 08:27:00.052728,svchost.exe,714,74c,d,fffffffffffffffe,2c,337807f220,8
2024-04-18 08:27:00.083647,svchost.exe,714,74c,8c,1fc,0,0,0
2024-04-18 08:27:00.115000,explorer.exe,1588,22f8,f,259c,ffffffffffffffff,0,0
2024-04-18 08:27:00.146248,explorer.exe,1588,22f8,32,369a,44,1,11fe9790
2024-04-18 08:27:00.177468,explorer.exe,1588,22f8,16,310c,4,b80bca0,28
2024-04-18 08:27:00.208702,MsMpEng.exe,ef0,5ac,3e,5b8,7fff9eebc650,0,0
2024-04-18 08:27:00.239983,explorer.exe,1588,22f8,21,fffffffffffffffa,1,b80abc0,58
2024-04-18 08:27:00.271183,explorer.exe,1588,22f8,10aa,e030c,1,b80c0b8,b80c320
2024-04-18 08:27:00.302436,explorer.exe,1588,22f8,5,b80d290,18,0,1
2024-04-18 08:27:00.333703,explorer.exe,1588,2450,16,9cc,7,d17ed68,4
2024-04-18 08:27:00.364882,explorer.exe,1588,2450,19,ffffffffffffffff,17,d17f320,24
