2024-05-03 14:59:20.269065,svchost.exe,c44,2110,23,ffffffffffffffff,1d2e9c00000,3,136f2fcb70
2024-05-03 14:59:20.300309,svchost.exe,c44,2110,1a1,1c,9,136f2ff4c8,4
2024-05-03 14:59:20.331571,svchost.exe,c44,2110,d,fffffffffffffffe,2c,1d2e96e5d98,8
2024-05-03 14:59:20.362841,explorer.exe,11d4,24e8,16,4e2,7,2e0e720,4
2024-05-03 14:59:20.393893,explorer.exe,11d4,24e8,16,2c8,7,2e0d4e8,4
2024-05-03 14:59:20.425516,smartscreen.ex,2624,1e08,28,1b4,ffffffffffffffff,5b90a7eff0,0
2024-05-03 14:59:20.456600,smartscreen.ex,2624,27f8,18,ffffffffffffffff,5b90e7ea98,0,5b90e7ea90
2024-05-03 14:59:20.488009,explorer.exe,11d4,24e8,1010,100f8,0,0,2e0e410
2024-05-03 14:59:20.519226,svchost.exe,600,273c,1a1,1c,9,bcc93ff35c,4
2024-05-03 14:59:20.550469,smartscreen.ex,2624,d9c,23,ffffffffffffffff,190dd890000,3,5b912fdb78
2024-05-03 14:59:20.581606,conhost.exe,26b8,204,c0,fe7277c898,100003,0,0
2024-05-03 14:59:20.612896,TextInputHost.,163c,1348,8c,504,0,0,0
2024-05-03 14:59:20.644156,timeout.exe,24c4,c08,23,ffffffffffffffff,7ff9012b0000,6,680079d270
2024-05-03 14:59:20.675284,LibreOfficeWri,1a48,23ec,11,2e8,9e5d8,19ed60,74
2024-05-03 14:59:20.706640,LibreOfficeWri,1a48,23ec,121,9e568,20019,9e588,0
2024-05-03 14:59:20.737964,LibreOfficePor,2648,b78,1c5,8000001e,19f3d0,18,19f358
2024-05-03 14:59:20.769214,LibreOfficePor,2648,b78,17,2b4,9e5f8,2,19e6f8
2024-05-03 14:59:20.800377,LibreOfficePor,2648,b78,121,9e580,2000000,9e5a8,0
2024-05-03 14:59:20.831523,dwm.exe,410,6b4,4,284,0,a42fbff498,a42fbff569
2024-05-03 14:59:20.862798,LibreOfficePor,2648,b78,121,9e580,1,9e5a8,0
2024-05-03 14:59:20.893984,LibreOfficePor,2648,b78,3000f,410,770f8a30,206,770e3dac
2024-05-03 14:59:20.925506,LibreOfficePor,2648,b78,16,10c,7,9e568,4
2024-05-03 14:59:20.956646,LibreOfficePor,2648,b78,55,9e5c0,40100080,9ee90,9e5d8
2024-05-03 14:59:20.987991,LibreOfficePor,2648,b78,16,10c,7,9e568,4
2024-05-03 14:59:21.019104,LibreOfficePor,2648,b78,55,9e5c0,40100080,9ee90,9e5d8
2024-05-03 14:59:21.050282,LibreOfficePor,2648,b78,1a0006,464,0,0,0
2024-05-03 14:59:21.081647,svchost.exe,8c4,bf0,76,ffffffffffffffff,5aba5be720,5aba5be698,1000
2024-05-03 14:59:21.112622,dwm.exe,410,6b4,1254,a42fbfef80,7ff8fa8da860,a42fbfef80,7bbd
2024-05-03 14:59:21.143862,LibreOfficePor,2648,b78,1a0006,464,0,0,0
2024-05-03 14:59:21.175452,LibreOfficePor,2648,b78,1a0006,464,0,0,0
2024-05-03 14:59:21.206679,LibreOfficePor,2648,b78,1a0006,464,0,0,0
2024-05-03 14:59:21.237876,LibreOfficePor,2648,b78,1a0006,464,0,0,0
2024-05-03 14:59:21.269045,LibreOfficePor,2648,b78,19,ffffffffffffffff,1,9e4e0,30
2024-05-03 14:59:21.300258,soffice.bin,f30,774,50,ffffffffffffffff,34e218,34e208,4
2024-05-03 14:59:21.331777,csrss.exe,28c,25c8,129,a38,8,a1c70bef70,a1c70befe0
2024-05-03 14:59:21.362602,explorer.exe,15f8,2f4,24,fffffffffffffffe,c,1,911dfc0
2024-05-03 14:59:21.393850,dwm.exe,410,6ac,172,928,a42f7cf4d0,1,a42f7cf4c0
2024-05-03 14:59:21.425065,explorer.exe,15f8,16ac,100e,10116,c018,0,0
2024-05-03 14:59:21.456549,soffice.bin,f30,774,50,ffffffffffffffff,34e218,34e208,1
2024-05-03 14:59:21.487864,soffice.bin,f30,774,18,ffffffffffffffff,34e220,0,34e210
2024-05-03 14:59:21.519110,soffice.bin,f30,774,11,32c,34e208,34ead0,18
2024-05-03 14:59:21.550205,svchost.exe,3a0,2504,1a1,1c,9,e63087f1b8,4
2024-05-03 14:59:21.581470,soffice.bin,f30,774,17,3b0,34e228,1,17ab0e8
2024-05-03 14:59:21.612672,soffice.bin,f30,774,121,34e198,20019,34e1b8,0
2024-05-03 14:59:21.643698,soffice.bin,f30,774,c00e9,ffffffffffffffff,69d7b120,60,770e3a2c
2024-05-03 14:59:21.674984,soffice.bin,f30,774,17,390,34e228,2,6f87d0
2024-05-03 14:59:21.706397,soffice.bin,f30,774,140c,10001,17ac1e0,1,6
2024-05-03 14:59:21.737874,soffice.bin,f30,774,3f,4c4,815fc0,17adbbc,48
2024-05-03 14:59:21.768977,soffice.bin,f30,774,3f,4c4,80f348,17adbbc,48
2024-05-03 14:59:21.800183,soffice.bin,f30,774,3f,4c4,816540,17adc30,48
2024-05-03 14:59:21.831291,soffice.bin,f30,774,3f,4c4,80ec68,17adc30,48
2024-05-03 14:59:21.862469,soffice.bin,f30,774,3f,4c4,81e5e8,17adbbc,48
2024-05-03 14:59:21.893844,soffice.bin,f30,774,3f,4c4,81e538,17adbbc,48
2024-05-03 14:59:21.925003,soffice.bin,f30,774,3f,4c4,8163e0,17adc30,48
2024-05-03 14:59:21.956355,soffice.bin,f30,774,3f,4c4,80e318,17adbbc,48
2024-05-03 14:59:21.987587,soffice.bin,f30,774,3f,4c4,815fc0,17adbbc,48
2024-05-03 14:59:22.018817,soffice.bin,f30,774,3f,4c4,807628,17adc30,48
2024-05-03 14:59:22.050259,soffice.bin,f30,774,3f,4c4,817670,17adc30,48
2024-05-03 14:59:22.081348,soffice.bin,f30,774,3f,4c4,8177d0,17adbbc,48
2024-05-03 14:59:22.112516,soffice.bin,f30,774,3f,4c4,816490,17adbbc,48
2024-05-03 14:59:22.143996,soffice.bin,f30,774,3f,4c4,807710,17adc30,48
2024-05-03 14:59:22.175054,soffice.bin,f30,774,3f,4c4,816540,17adc30,48
2024-05-03 14:59:22.206223,soffice.bin,f30,774,11dd,34e220,34e220,1,6
2024-05-03 14:59:22.237561,soffice.bin,f30,774,32,530,f,0,17ad9e0
2024-05-03 14:59:22.268821,soffice.bin,f30,774,d,fffffffffffffffe,5,34e260,8
2024-05-03 14:59:22.299710,soffice.bin,f30,774,16,6ac,4,17ad8f8,28
2024-05-03 14:59:22.331070,soffice.bin,f30,774,121,34e1b0,20019,34e1d8,0
2024-05-03 14:59:22.362564,soffice.bin,f30,774,19a,6c4,5,34e268,4
2024-05-03 14:59:22.393907,soffice.bin,f30,774,3000f,408,770f8a30,200202,770e2c6c
2024-05-03 14:59:22.424833,soffice.bin,f30,774,c00e9,ffffffffffffffff,69d946b0,3e0,770e3a2c
2024-05-03 14:59:22.456216,soffice.bin,f30,774,1224,34e230,34e230,1,6
2024-05-03 14:59:22.487438,soffice.bin,f30,774,3f,4c4,808b70,17ad9ec,48
2024-05-03 14:59:22.518308,soffice.bin,f30,774,3f,4c4,81ed78,17ad9ec,48
2024-05-03 14:59:22.549926,soffice.bin,f30,774,3f,4c4,80ec68,17ada60,48
2024-05-03 14:59:22.581216,soffice.bin,f30,774,3f,4c4,815fc0,17ada60,48
2024-05-03 14:59:22.612314,soffice.bin,f30,774,3f,4c4,816490,17ad9ec,48
2024-05-03 14:59:22.643563,soffice.bin,f30,774,3f,4c4,815fc0,17ad9ec,48
2024-05-03 14:59:22.674868,soffice.bin,f30,774,19,4c4,1a,34e010,8
2024-05-03 14:59:22.705964,soffice.bin,f30,774,3f,4c4,81e8a8,17ada60,48
2024-05-03 14:59:22.737150,soffice.bin,f30,774,3f,4c4,808a38,17ad9ec,48
2024-05-03 14:59:22.768531,soffice.bin,f30,774,3f,4c4,80ed18,17ad9ec,48
2024-05-03 14:59:22.799730,soffice.bin,f30,774,3f,4c4,81ed78,17ad9ec,48
2024-05-03 14:59:22.831001,soffice.bin,f30,774,3f,4c4,8168b0,17ada60,48
2024-05-03 14:59:22.862190,soffice.bin,f30,774,3f,4c4,817510,17ada60,48
2024-05-03 14:59:22.893334,soffice.bin,f30,774,3f,4c4,80f1e8,17ad9ec,48
2024-05-03 14:59:22.924823,soffice.bin,f30,774,3f,4c4,81f878,17ad9ec,48
2024-05-03 14:59:22.956040,soffice.bin,f30,774,3f,4c4,8168b0,17ada60,48
2024-05-03 14:59:22.987180,soffice.bin,f30,774,3f,4c4,808b70,17ada60,48
2024-05-03 14:59:23.018463,soffice.bin,f30,774,36,66,17acf88,1b0,0
2024-05-03 14:59:23.049614,soffice.bin,f30,774,121,34e1b0,20119,34e1d8,0
2024-05-03 14:59:23.080923,soffice.bin,f30,774,11dd,34e220,34e220,1,6
2024-05-03 14:59:23.112099,soffice.bin,f30,774,11dd,34e220,34e220,1,6
2024-05-03 14:59:23.143457,svchost.exe,a1c,14f4,121,7e7d0ff778,20019,7e7d0ff798,0
2024-05-03 14:59:23.174797,svchost.exe,c44,2110,6,1dc,0,0,136f2fbd58
2024-05-03 14:59:23.206011,soffice.bin,f30,774,18,ffffffffffffffff,34e220,0,34e210
2024-05-03 14:59:23.237360,ctfmon.exe,1288,1310,16,280,7,41b577dc88,4
